Months,Prec.,Evotrasp.,Inc.,AVP,Prec. Norm.,Evotrasp. ,Inc,Score
,,,,,,Norm,Norm,
Jan,3.14,136.52,0,197.27,0,0.69,0,0.91
Feb,9.12,138.9,0,138.82,0.07,0.73,0,0.59
Mar,27.02,154.24,0,69.8,0.27,1,0,0.21
Apr,45.91,140.64,0,44.13,0.47,0.76,0,0.06
May,59.91,137.12,0,34.03,0.63,0.7,0,0.01
Jun,74.88,113.68,2,32.74,0.8,0.3,0.67,0
Jul,84.05,99.65,3,41.81,0.9,0.05,1,0.05
Aug,76.6,96.55,2,53.72,0.82,0,0.67,0.12
Sep,93.25,102.84,2,33.72,1,0.11,0.67,0.01
Oct,63.52,122.28,2,40.61,0.67,0.45,0.67,0.04
Nov,13.78,126.76,0,115.94,0.12,0.52,0,0.46
Dec,3.74,123.86,0,213.52,0.01,0.47,0,1
